county_id,cbg,date,count
17183,480291817183,2020-01-11,274
17183,480291817183,2020-01-12,195
17183,171830008001,2020-01-06,90
17183,171830008001,2020-01-07,113
17183,171830008001,2020-01-08,127
17183,171830008001,2020-01-09,120
17183,171830008001,2020-01-10,133
17183,171830008001,2020-01-11,45
17183,171830008001,2020-01-12,32
17183,171830104002,2020-01-06,228
17183,171830104002,2020-01-07,270
17183,171830104002,2020-01-08,227
17183,171830104002,2020-01-09,362
17183,171830104002,2020-01-10,179
17183,171830104002,2020-01-11,56
17183,171830104002,2020-01-12,57
17183,171830106001,2020-01-06,168
17183,171830106001,2020-01-07,232
17183,171830106001,2020-01-08,174
17183,171830106001,2020-01-09,279
17183,171830106001,2020-01-10,170
17183,171830106001,2020-01-11,68
17183,171830106001,2020-01-12,45
17183,171830102003,2020-01-06,304
17183,171830102003,2020-01-07,333
17183,171830102003,2020-01-08,270
17183,171830102003,2020-01-09,298
17183,171830102003,2020-01-10,367
17183,171830102003,2020-01-11,175
17183,171830102003,2020-01-12,121
17183,171830107011,2020-01-06,244
17183,171830107011,2020-01-07,276
17183,171830107011,2020-01-08,307
17183,171830107011,2020-01-09,294
17183,171830107011,2020-01-10,352
17183,171830107011,2020-01-11,310
17183,171830107011,2020-01-12,288
17183,484530017183,2020-01-06,85
17183,484530017183,2020-01-07,64
17183,484530017183,2020-01-08,188
17183,484530017183,2020-01-09,152
17183,484530017183,2020-01-10,194
17183,484530017183,2020-01-11,143
17183,484530017183,2020-01-12,60
17183,171830110002,2020-01-06,116
17183,171830110002,2020-01-07,152
17183,171830110002,2020-01-08,163
17183,171830110002,2020-01-09,128
17183,171830110002,2020-01-10,132
17183,171830110002,2020-01-11,128
17183,171830110002,2020-01-12,137
17183,171830112001,2020-01-06,151
17183,171830112001,2020-01-07,199
17183,171830112001,2020-01-08,210
17183,171830112001,2020-01-09,193
17183,171830112001,2020-01-10,151
17183,171830112001,2020-01-11,120
17183,171830112001,2020-01-12,111
17183,171830101001,2020-01-06,20
17183,171830101001,2020-01-07,33
17183,171830101001,2020-01-08,25
17183,171830101001,2020-01-09,34
17183,171830101001,2020-01-10,26
17183,171830101001,2020-01-11,22
17183,171830101001,2020-01-12,20
17183,171830105002,2020-01-06,98
